"TimePeriod","GeoTypeDesc","GeoID","GeoRank","BoroID","Borough","Geography","Area","Number","Percent"
"2013-17","UHF 42","105","4","1","Bronx","Crotona -Tremont","Crotona -Tremont  Bronx","84,470","64.6"
"2013-17","UHF 42","106","4","1","Bronx","High Bridge - Morrisania","High Bridge - Morrisania  Bronx","87,016","65.7"
"2013-17","UHF 42","107","4","1","Bronx","Hunts Point - Mott Haven","Hunts Point - Mott Haven  Bronx","51,043","60.3"
"2013-17","UHF 42","201","4","2","Brooklyn","Greenpoint","Greenpoint  Brooklyn","84,864","85.8"
"2013-17","UHF 42","202","4","2","Brooklyn","Downtown - Heights - Slope","Downtown - Heights - Slope  Brooklyn","165,197","89.8"
"2013-17","UHF 42","203","4","2","Brooklyn","Bedford Stuyvesant - Crown Heights","Bedford Stuyvesant - Crown Heights  Brooklyn","190,916","82.0"
"2013-17","UHF 42","204","4","2","Brooklyn","East New York","East New York  Brooklyn","94,674","78.1"
"2013-17","UHF 42","205","4","2","Brooklyn","Sunset Park","Sunset Park  Brooklyn","48,264","55.0"
"2013-17","UHF 42","206","4","2","Brooklyn","Borough Park","Borough Park  Brooklyn","158,774","76.0"
"2013-17","UHF 42","207","4","2","Brooklyn","East Flatbush - Flatbush","East Flatbush - Flatbush  Brooklyn","178,444","85.8"
"2013-17","UHF 42","208","4","2","Brooklyn","Canarsie - Flatlands","Canarsie - Flatlands  Brooklyn","125,961","86.7"
"2013-17","UHF 42","209","4","2","Brooklyn","Bensonhurst - Bay Ridge","Bensonhurst - Bay Ridge  Brooklyn","121,294","80.1"
"2013-17","UHF 42","210","4","2","Brooklyn","Coney Island - Sheepshead Bay","Coney Island - Sheepshead Bay  Brooklyn","172,091","82.8"
"2013-17","UHF 42","211","4","2","Brooklyn","Williamsburg - Bushwick","Williamsburg - Bushwick  Brooklyn","103,431","72.3"
"2013-17","UHF 42","301","4","3","Manhattan","Washington Heights","Washington Heights  Manhattan","141,789","71.0"
"2013-17","UHF 42","302","4","3","Manhattan","Central Harlem - Morningside Heights","Central Harlem - Morningside Heights  Manhattan","101,516","82.2"
"2013-17","UHF 42","303","4","3","Manhattan","East Harlem","East Harlem  Manhattan","58,969","73.4"
"2013-17","UHF 42","304","4","3","Manhattan","Upper West Side","Upper West Side  Manhattan","162,339","93.7"
"2013-17","UHF 42","305","4","3","Manhattan","Upper East Side","Upper East Side  Manhattan","175,804","97.4"
"2013-17","UHF 42","306","4","3","Manhattan","Chelsea - Clinton","Chelsea - Clinton  Manhattan","119,480","94.4"
"2013-17","UHF 42","307","4","3","Manhattan","Gramercy Park - Murray Hill","Gramercy Park - Murray Hill  Manhattan","103,331","96.5"
"2013-17","UHF 42","308","4","3","Manhattan","Greenwich Village - SoHo","Greenwich Village - SoHo  Manhattan","63,469","91.8"
"2013-17","UHF 42","309","4","3","Manhattan","Union Square - Lower East Side","Union Square - Lower East Side  Manhattan","119,734","81.3"
"2013-17","UHF 42","310","4","3","Manhattan","Lower Manhattan","Lower Manhattan  Manhattan","41,743","92.2"
"2013-17","UHF 42","401","4","4","Queens","Long Island City - Astoria","Long Island City - Astoria  Queens","139,673","86.1"
"2013-17","UHF 42","402","4","4","Queens","West Queens","West Queens  Queens","244,084","73.2"
"2013-17","UHF 42","403","4","4","Queens","Flushing - Clearview","Flushing - Clearview  Queens","154,046","77.9"
"2013-17","UHF 42","404","4","4","Queens","Bayside - Little Neck","Bayside - Little Neck  Queens","61,057","89.8"
"2013-17","UHF 42","405","4","4","Queens","Ridgewood - Forest Hills","Ridgewood - Forest Hills  Queens","167,498","87.5"
"2013-17","UHF 42","406","4","4","Queens","Fresh Meadows","Fresh Meadows  Queens","61,057","85.7"
"2013-17","UHF 42","407","4","4","Queens","Southwest Queens","Southwest Queens  Queens","155,362","77.4"
"2013-17","UHF 42","408","4","4","Queens","Jamaica","Jamaica  Queens","175,827","81.4"
"2013-17","UHF 42","409","4","4","Queens","Southeast Queens","Southeast Queens  Queens","201,195","88.7"
"2013-17","UHF 42","410","4","4","Queens","Rockaways","Rockaways  Queens","61,975","78.2"
"2013-17","UHF 42","501","4","5","Staten Island","Port Richmond","Port Richmond  Staten Island","36,426","83.6"
"2013-17","UHF 42","502","4","5","Staten Island","Stapleton - St. George","Stapleton - St. George  Staten Island","71,758","85.1"
"2013-17","UHF 42","503","4","5","Staten Island","Willowbrook","Willowbrook  Staten Island","57,284","90.3"
"2013-17","UHF 42","504","4","5","Staten Island","South Beach - Tottenville","South Beach - Tottenville  Staten Island","125,998","91.8"
"2012-16","UHF 42","101","4","1","Bronx","Kingsbridge - Riverdale","Kingsbridge - Riverdale  Bronx","54,886","83.6"
"2012-16","UHF 42","102","4","1","Bronx","Northeast Bronx","Northeast Bronx  Bronx","112,295","81.3"
