"TimePeriod","GeoTypeDesc","GeoID","GeoRank","BoroID","Borough","Geography","Area","Number","Estimated annual rate per 10,000","Age-adjusted rate per 10,000"
"2021","UHF 42","304","4","3","Manhattan","Upper West Side","Upper West Side  Manhattan","39","2.1","2.3"
"2021","UHF 42","305","4","3","Manhattan","Upper East Side","Upper East Side  Manhattan","29","1.7","1.8"
"2021","UHF 42","306","4","3","Manhattan","Chelsea - Clinton","Chelsea - Clinton  Manhattan","49","3.6","3.6"
"2021","UHF 42","307","4","3","Manhattan","Gramercy Park - Murray Hill","Gramercy Park - Murray Hill  Manhattan","21","1.8","2.0"
"2021","UHF 42","308","4","3","Manhattan","Greenwich Village - SoHo","Greenwich Village - SoHo  Manhattan","5*","0.7*","0.9*"
"2021","UHF 42","309","4","3","Manhattan","Union Square - Lower East Side","Union Square - Lower East Side  Manhattan","81","5.1","4.9"
"2021","UHF 42","310","4","3","Manhattan","Lower Manhattan","Lower Manhattan  Manhattan","12","2.3","2.7"
"2021","UHF 42","401","4","4","Queens","Long Island City - Astoria","Long Island City - Astoria  Queens","51","3.0","3.0"
"2021","UHF 42","402","4","4","Queens","West Queens","West Queens  Queens","120","3.3","3.2"
"2021","UHF 42","403","4","4","Queens","Flushing - Clearview","Flushing - Clearview  Queens","40","1.9","1.8"
"2021","UHF 42","404","4","4","Queens","Bayside - Little Neck","Bayside - Little Neck  Queens","20","2.7","2.4"
"2021","UHF 42","405","4","4","Queens","Ridgewood - Forest Hills","Ridgewood - Forest Hills  Queens","40","1.9","1.8"
"2021","UHF 42","406","4","4","Queens","Fresh Meadows","Fresh Meadows  Queens","32","4.1","4.0"
"2021","UHF 42","407","4","4","Queens","Southwest Queens","Southwest Queens  Queens","104","4.7","4.6"
"2021","UHF 42","408","4","4","Queens","Jamaica","Jamaica  Queens","189","7.2","7.0"
"2021","UHF 42","409","4","4","Queens","Southeast Queens","Southeast Queens  Queens","85","4.8","4.5"
"2021","UHF 42","410","4","4","Queens","Rockaways","Rockaways  Queens","42","4.2","4.1"
"2021","UHF 42","501","4","5","Staten Island","Port Richmond","Port Richmond  Staten Island","25","4.7","4.7"
"2021","UHF 42","502","4","5","Staten Island","Stapleton - St. George","Stapleton - St. George  Staten Island","70","6.9","6.7"
"2021","UHF 42","503","4","5","Staten Island","Willowbrook","Willowbrook  Staten Island","15","2.0","1.7"
"2021","UHF 42","504","4","5","Staten Island","South Beach - Tottenville","South Beach - Tottenville  Staten Island","38","2.4","2.3"
"2020","UHF 42","101","4","1","Bronx","Kingsbridge - Riverdale","Kingsbridge - Riverdale  Bronx","28","3.7","3.4"
"2020","UHF 42","102","4","1","Bronx","Northeast Bronx","Northeast Bronx  Bronx","159","9.6","9.0"
"2020","UHF 42","103","4","1","Bronx","Fordham - Bronx Pk","Fordham - Bronx Pk  Bronx","266","13.1","13.4"
"2020","UHF 42","104","4","1","Bronx","Pelham - Throgs Neck","Pelham - Throgs Neck  Bronx","268","11.3","10.8"
"2020","UHF 42","105","4","1","Bronx","Crotona -Tremont","Crotona -Tremont  Bronx","253","16.1","16.6"
"2020","UHF 42","106","4","1","Bronx","High Bridge - Morrisania","High Bridge - Morrisania  Bronx","288","17.8","17.8"
"2020","UHF 42","107","4","1","Bronx","Hunts Point - Mott Haven","Hunts Point - Mott Haven  Bronx","221","21.4","21.6"
"2020","UHF 42","201","4","2","Brooklyn","Greenpoint","Greenpoint  Brooklyn","28","2.4","2.9"
"2020","UHF 42","202","4","2","Brooklyn","Downtown - Heights - Slope","Downtown - Heights - Slope  Brooklyn","79","3.5","4.1"
"2020","UHF 42","203","4","2","Brooklyn","Bedford Stuyvesant - Crown Heights","Bedford Stuyvesant - Crown Heights  Brooklyn","218","7.9","8.0"
"2020","UHF 42","204","4","2","Brooklyn","East New York","East New York  Brooklyn","130","8.6","8.5"
"2020","UHF 42","205","4","2","Brooklyn","Sunset Park","Sunset Park  Brooklyn","34","3.5","3.7"
"2020","UHF 42","206","4","2","Brooklyn","Borough Park","Borough Park  Brooklyn","51","2.1","2.0"
"2020","UHF 42","207","4","2","Brooklyn","East Flatbush - Flatbush","East Flatbush - Flatbush  Brooklyn","167","6.9","6.6"
"2020","UHF 42","208","4","2","Brooklyn","Canarsie - Flatlands","Canarsie - Flatlands  Brooklyn","87","5.2","5.0"
"2020","UHF 42","209","4","2","Brooklyn","Bensonhurst - Bay Ridge","Bensonhurst - Bay Ridge  Brooklyn","25","1.5","1.3"
"2020","UHF 42","210","4","2","Brooklyn","Coney Island - Sheepshead Bay","Coney Island - Sheepshead Bay  Brooklyn","93","3.9","3.5"
"2020","UHF 42","211","4","2","Brooklyn","Williamsburg - Bushwick","Williamsburg - Bushwick  Brooklyn","118","6.7","7.3"
"2020","UHF 42","301","4","3","Manhattan","Washington Heights","Washington Heights  Manhattan","108","4.8","4.7"
"2020","UHF 42","302","4","3","Manhattan","Central Harlem - Morningside Heights","Central Harlem - Morningside Heights  Manhattan","133","8.8","9.1"
"2020","UHF 42","303","4","3","Manhattan","East Harlem","East Harlem  Manhattan","95","10.3","10.3"
"2020","UHF 42","304","4","3","Manhattan","Upper West Side","Upper West Side  Manhattan","51","2.6","2.3"
"2020","UHF 42","305","4","3","Manhattan","Upper East Side","Upper East Side  Manhattan","34","1.8","1.6"
"2020","UHF 42","306","4","3","Manhattan","Chelsea - Clinton","Chelsea - Clinton  Manhattan","44","2.9","3.1"
"2020","UHF 42","307","4","3","Manhattan","Gramercy Park - Murray Hill","Gramercy Park - Murray Hill  Manhattan","19","1.5","1.5"
"2020","UHF 42","308","4","3","Manhattan","Greenwich Village - SoHo","Greenwich Village - SoHo  Manhattan","4*","0.5*","0.6*"
"2020","UHF 42","309","4","3","Manhattan","Union Square - Lower East Side","Union Square - Lower East Side  Manhattan","58","3.4","3.4"
"2020","UHF 42","310","4","3","Manhattan","Lower Manhattan","Lower Manhattan  Manhattan","9*","1.6*","1.9*"
"2020","UHF 42","401","4","4","Queens","Long Island City - Astoria","Long Island City - Astoria  Queens","42","2.3","2.5"
"2020","UHF 42","402","4","4","Queens","West Queens","West Queens  Queens","112","3.0","2.9"
"2020","UHF 42","403","4","4","Queens","Flushing - Clearview","Flushing - Clearview  Queens","46","2.1","1.9"
"2020","UHF 42","404","4","4","Queens","Bayside - Little Neck","Bayside - Little Neck  Queens","9*","1.2*","0.9*"
"2020","UHF 42","405","4","4","Queens","Ridgewood - Forest Hills","Ridgewood - Forest Hills  Queens","52","2.4","2.2"
"2020","UHF 42","406","4","4","Queens","Fresh Meadows","Fresh Meadows  Queens","23","2.8","2.8"
"2020","UHF 42","407","4","4","Queens","Southwest Queens","Southwest Queens  Queens","84","3.7","3.6"
"2020","UHF 42","408","4","4","Queens","Jamaica","Jamaica  Queens","130","4.9","4.6"
"2020","UHF 42","409","4","4","Queens","Southeast Queens","Southeast Queens  Queens","79","4.4","4.1"
"2020","UHF 42","410","4","4","Queens","Rockaways","Rockaways  Queens","51","4.9","4.9"
"2020","UHF 42","501","4","5","Staten Island","Port Richmond","Port Richmond  Staten Island","23","4.3","4.4"
"2020","UHF 42","502","4","5","Staten Island","Stapleton - St. George","Stapleton - St. George  Staten Island","65","6.4","6.0"
"2020","UHF 42","503","4","5","Staten Island","Willowbrook","Willowbrook  Staten Island","20","2.7","2.6"
"2020","UHF 42","504","4","5","Staten Island","South Beach - Tottenville","South Beach - Tottenville  Staten Island","31","2.0","1.8"
"2019","UHF 42","101","4","1","Bronx","Kingsbridge - Riverdale","Kingsbridge - Riverdale  Bronx","61","7.7","7.5"
"2019","UHF 42","102","4","1","Bronx","Northeast Bronx","Northeast Bronx  Bronx","325","19.2","18.2"
"2019","UHF 42","103","4","1","Bronx","Fordham - Bronx Pk","Fordham - Bronx Pk  Bronx","438","21.1","21.9"
"2019","UHF 42","104","4","1","Bronx","Pelham - Throgs Neck","Pelham - Throgs Neck  Bronx","429","17.7","17.2"
"2019","UHF 42","105","4","1","Bronx","Crotona -Tremont","Crotona -Tremont  Bronx","380","23.2","24.0"
"2019","UHF 42","106","4","1","Bronx","High Bridge - Morrisania","High Bridge - Morrisania  Bronx","486","29.3","29.2"
"2019","UHF 42","107","4","1","Bronx","Hunts Point - Mott Haven","Hunts Point - Mott Haven  Bronx","347","32.5","33.2"
"2019","UHF 42","201","4","2","Brooklyn","Greenpoint","Greenpoint  Brooklyn","45","3.8","4.5"
"2019","UHF 42","202","4","2","Brooklyn","Downtown - Heights - Slope","Downtown - Heights - Slope  Brooklyn","159","7.2","8.3"
"2019","UHF 42","203","4","2","Brooklyn","Bedford Stuyvesant - Crown Heights","Bedford Stuyvesant - Crown Heights  Brooklyn","324","11.8","12.2"
"2019","UHF 42","204","4","2","Brooklyn","East New York","East New York  Brooklyn","226","15.2","15.1"
"2019","UHF 42","205","4","2","Brooklyn","Sunset Park","Sunset Park  Brooklyn","61","6.3","6.8"
"2019","UHF 42","206","4","2","Brooklyn","Borough Park","Borough Park  Brooklyn","73","3.0","2.9"
"2019","UHF 42","207","4","2","Brooklyn","East Flatbush - Flatbush","East Flatbush - Flatbush  Brooklyn","193","7.9","7.5"
